"Index","ICD.10.Code","Top10","DiagnosisEntity","CCSR.Category","Diagnosis"
"1","A18.50","Tuberculosis of eye","tuberculosis of eye","EYE004","Tuberculosis of eye, unspecified                 "
"2","A18.51","Tuberculosis of eye","episcleritis","EYE001","Tuberculous episcleritis                   "
"3","A18.52","Tuberculosis of eye","keratitis - infectious","EYE001","Tuberculous keratitis                   "
"5","A18.54","Tuberculosis of eye","secondary uveitis - infectious","EYE004","Tuberculous iridocyclitis                   "
"6","A18.59","Tuberculosis of eye","tuberculosis of eye","EYE004","Other tuberculosis of eye                 "
"11","A51.43","Syphilitic oculopathy","syphilitic oculopathy","EYE004","Secondary syphilitic oculopathy                  "
"12","A52.71","Syphilitic oculopathy","syphilitic oculopathy","EYE004","Late syphilitic oculopathy                  "
"14","A54.31","Gonococcal infection of eye","conjunctivitis - infectious","EYE001","Gonococcal conjunctivitis                   "
"15","A54.32","Gonococcal infection of eye","secondary uveitis - infectious","EYE004","Gonococcal iridocyclitis                   "
"16","A54.33","Gonococcal infection of eye","keratitis - infectious","EYE001","Gonococcal keratitis                   "
"18","A71.0","Trachoma","trachoma","EYE004","Initial stage of trachoma                 "
"19","A71.1","Trachoma","trachoma","EYE004","Active stage of trachoma                 "
"20","A71.9","Trachoma","trachoma","EYE004","Trachoma, unspecified                   "
"21","A74.0","Chlamydial oculopathy              ","conjunctivitis - infectious","EYE001","Chlamydial conjunctivitis                   "
"22","B00.50","Herpesviral ocular disease","herpesviral ocular disease","EYE004","Herpesviral ocular disease, unspecified                 "
"23","B00.51","Herpesviral ocular disease","secondary uveitis - infectious","EYE004","Herpesviral iridocyclitis"
"24","B00.52","Herpesviral ocular disease","keratitis - infectious","EYE001","Herpesviral keratitis"
"25","B00.53","Herpesviral ocular disease","conjunctivitis - infectious","EYE001","Herpesviral conjunctivitis"
"26","B00.59","Herpesviral ocular disease","herpesviral ocular disease - other","EYE012","Other herpesviral disease of the eye"
"27","B02.30","Zoster ocular disease","zoster ocular disease","EYE004","Zoster ocular disease, unspecified                 "
"28","B02.31","Zoster ocular disease","conjunctivitis - infectious","EYE001","Zoster conjunctivitis                   "
"29","B02.32","Zoster ocular disease","secondary uveitis - infectious","EYE004","Zoster iridocyclitis                   "
"30","B02.33","Zoster ocular disease","keratitis - infectious","EYE001","Zoster keratitis                   "
"31","B02.34","Zoster ocular disease","scleritis - infectious","EYE001","Zoster scleritis                   "
"32","B02.39","Zoster ocular disease","zoster ocular disease","EYE004","Other herpes zoster eye disease                "
"34","B30.0","Keratoconjunctivitis","keratoconjunctivitis - infectious","EYE001","Keratoconjunctivitis due to adenovirus                 "
"35","B30.1","Conjunctivitis","conjunctivitis - infectious","EYE001","Conjunctivitis due to adenovirus                 "
"36","B30.2","Conjunctivitis","conjunctivitis - infectious","EYE001","Viral pharyngoconjunctivitis                   "
"37","B30.3","Conjunctivitis","conjunctivitis - infectious","EYE001","Acute epidemic hemorrhagic conjunctivitis (enteroviral)                "
"38","B30.8","Conjunctivitis","conjunctivitis - infectious","EYE001","Other viral conjunctivitis                  "
"39","B30.9","Conjunctivitis","conjunctivitis - infectious","EYE001","Viral conjunctivitis, unspecified                  "
"40","B58.00","Toxoplasma oculopathy","toxoplasma oculopathy","EYE004","Toxoplasma oculopathy, unspecified                  "
"41","B58.01","Toxoplasma oculopathy","toxoplasma oculopathy","EYE004","Toxoplasma chorioretinitis                   "
"42","B58.09","Toxoplasma oculopathy","toxoplasma oculopathy","EYE004","Other toxoplasma oculopathy                  "
"43","B60.12","Conjunctivitis","conjunctivitis - infectious","EYE001","Conjunctivitis due to Acanthamoeba                 "
"44","B60.13","Keratoconjunctivitis","keratoconjunctivitis - infectious","EYE001","Keratoconjunctivitis due to Acanthamoeba                 "
"45","B94.0","Trachoma","trachoma","EYE004","Sequelae of trachona"
"46","C43.10","Malignant neoplasm of eye and adnexa","malignant neoplasm - eyelid","EYE008","Malignant melanoma of unspecified eyelid, including canthus              "
"47","C43.11","Malignant neoplasm of eye and adnexa","malignant neoplasm - eyelid","EYE008","Malignant melanoma of right eyelid, including canthus              "
"48","C43.12","Malignant neoplasm of eye and adnexa","malignant neoplasm - eyelid","EYE008","Malignant melanoma of left eyelid, including canthus              "
"49","C44.101","Malignant neoplasm of eye and adnexa","malignant neoplasm - eyelid","EYE008","Unspecified malignant neoplasm of skin of unspecified eyelid, including canthus           "
"50","C44.102","Malignant neoplasm of eye and adnexa","malignant neoplasm - eyelid","EYE008","Unspecified malignant neoplasm of skin of right eyelid, including canthus           "
"51","C44.109","Malignant neoplasm of eye and adnexa","malignant neoplasm - eyelid","EYE008","Unspecified malignant neoplasm of skin of left eyelid, including canthus           "
"52","C44.111","Malignant neoplasm of eye and adnexa","malignant neoplasm - eyelid","EYE008","Basal cell carcinoma of skin of unspecified eyelid, including canthus           "
"53","C44.112","Malignant neoplasm of eye and adnexa","malignant neoplasm - eyelid","EYE008","Basal cell carcinoma of skin of right eyelid, including canthus           "
"54","C44.119","Malignant neoplasm of eye and adnexa","malignant neoplasm - eyelid","EYE008","Basal cell carcinoma of skin of left eyelid, including canthus           "
"55","C44.121","Malignant neoplasm of eye and adnexa","malignant neoplasm - eyelid","EYE008","Squamous cell carcinoma of skin of unspecified eyelid, including canthus           "
"56","C44.122","Malignant neoplasm of eye and adnexa","malignant neoplasm - eyelid","EYE008","Squamous cell carcinoma of skin of right eyelid, including canthus           "
"57","C44.129","Malignant neoplasm of eye and adnexa","malignant neoplasm - eyelid","EYE008","Squamous cell carcinoma of skin of left eyelid, including canthus           "
"58","C44.191","Malignant neoplasm of eye and adnexa","malignant neoplasm - eyelid","EYE008","Other specified malignant neoplasm of skin of unspecified eyelid, including canthus          "
"59","C44.192","Malignant neoplasm of eye and adnexa","malignant neoplasm - eyelid","EYE008","Other specified malignant neoplasm of skin of right eyelid, including canthus          "
"60","C44.199","Malignant neoplasm of eye and adnexa","malignant neoplasm - eyelid","EYE008","Other specified malignant neoplasm of skin of left eyelid, including canthus          "
"61","C69.00","Malignant neoplasm of eye and adnexa","malignant neoplasm - conjunctiva","EYE001","Malignant neoplasm of unspecified conjunctiva                "
"62","C69.01","Malignant neoplasm of eye and adnexa","malignant neoplasm - conjunctiva","EYE001","Malignant neoplasm of right conjunctiva                "
"63","C69.02","Malignant neoplasm of eye and adnexa","malignant neoplasm - conjunctiva","EYE001","Malignant neoplasm of left conjunctiva                "
"64","C69.10","Malignant neoplasm of eye and adnexa","malignant neoplasm - cornea","EYE001","Malignant neoplasm of unspecified cornea                "
"65","C69.11","Malignant neoplasm of eye and adnexa","malignant neoplasm - cornea","EYE001","Malignant neoplasm of right cornea                "
"66","C69.12","Malignant neoplasm of eye and adnexa","malignant neoplasm - cornea","EYE001","Malignant neoplasm of left cornea                "
"67","C69.20","Malignant neoplasm of eye and adnexa","malignant neoplasm - retina","EYE005","Malignant neoplasm of unspecified retina                "
"68","C69.21","Malignant neoplasm of eye and adnexa","malignant neoplasm - retina","EYE005","Malignant neoplasm of right retina                "
"69","C69.22","Malignant neoplasm of eye and adnexa","malignant neoplasm - retina","EYE005","Malignant neoplasm of left retina                "
"70","C69.30","Malignant neoplasm of eye and adnexa","malignant neoplasm - choroid","EYE012","Malignant neoplasm of unspecified choroid                "
"71","C69.31","Malignant neoplasm of eye and adnexa","malignant neoplasm - choroid","EYE012","Malignant neoplasm of right choroid                "
"72","C69.32","Malignant neoplasm of eye and adnexa","malignant neoplasm - choroid","EYE012","Malignant neoplasm of left choroid                "
"73","C69.40","Malignant neoplasm of eye and adnexa","malignant neoplasm - ciliary body ","EYE012","Malignant neoplasm of unspecified ciliary body               "
"74","C69.41","Malignant neoplasm of eye and adnexa","malignant neoplasm - ciliary body ","EYE012","Malignant neoplasm of right ciliary body               "
"75","C69.42","Malignant neoplasm of eye and adnexa","malignant neoplasm - ciliary body ","EYE012","Malignant neoplasm of left ciliary body               "
"76","C69.50","Malignant neoplasm of eye and adnexa","malignant neoplasm - lacrimal","EYE008","Malignant neoplasm of unspecified lacrimal gland and duct             "
"77","C69.51","Malignant neoplasm of eye and adnexa","malignant neoplasm - lacrimal","EYE008","Malignant neoplasm of right lacrimal gland and duct             "
"78","C69.52","Malignant neoplasm of eye and adnexa","malignant neoplasm - lacrimal","EYE008","Malignant neoplasm of left lacrimal gland and duct             "
"79","C69.60","Malignant neoplasm of eye and adnexa","malignant neoplasm - orbit","EYE008","Malignant neoplasm of unspecified orbit                "
"80","C69.61","Malignant neoplasm of eye and adnexa","malignant neoplasm - orbit","EYE008","Malignant neoplasm of right orbit                "
"81","C69.62","Malignant neoplasm of eye and adnexa","malignant neoplasm - orbit","EYE008","Malignant neoplasm of left orbit                "
"82","C69.80","Malignant neoplasm of eye and adnexa","malignant neoplasm - other/unspec","EYE008","Malignant neoplasm of overlapping sites of unspecified eye and adnexa           "
"83","C69.81","Malignant neoplasm of eye and adnexa","malignant neoplasm - other/unspec","EYE008","Malignant neoplasm of overlapping sites of right eye and adnexa           "
"84","C69.82","Malignant neoplasm of eye and adnexa","malignant neoplasm - other/unspec","EYE008","Malignant neoplasm of overlapping sites of left eye and adnexa           "
"85","C69.90","Malignant neoplasm of eye and adnexa","malignant neoplasm - other/unspec","EYE008","Malignant neoplasm of unspecified site of unspecified eye             "
