Index,ICD-10 Code,Top10,DiagnosisEntity,CCSR Category,Diagnosis,Notes
1,A1850,Tuberculosis of eye,tuberculosis of eye,EYE004,"Tuberculosis of eye, unspecified                 ","Low numbers (< 200), but complete TS data of A18.5%"
2,A1851,Tuberculosis of eye,episcleritis,EYE001,Tuberculous episcleritis                   ,"Low numbers (< 200), but complete TS data of A18.5%"
3,A1852,Tuberculosis of eye,keratitis - infectious,EYE001,Tuberculous keratitis                   ,"Low numbers (< 200), but complete TS data of A18.5%"
4,A1853,Tuberculosis of eye,CODE EXCLUDED,EYE005,Tuberculous chorioretinitis                   ,"Very low numbers (< 20), and incomplete TS data of A18.53%"
5,A1854,Tuberculosis of eye,secondary uveitis - infectious,EYE004,Tuberculous iridocyclitis                   ,"Low numbers (< 200), but complete TS data of A18.5%"
6,A1859,Tuberculosis of eye,tuberculosis of eye,EYE004,Other tuberculosis of eye                 ,"Low numbers (< 200), but complete TS data of A18.5%"
7,A3686,Conjunctival diphtheria,CODE EXCLUDED,EYE001,Diphtheritic conjunctivitis,"Very low numbers (< 10), and incomplete TS data of A36.86%"
8,A5001,Syphilitic oculopathy,CODE EXCLUDED,EYE004,Early congenital syphilitic oculopathy                 ,"Very low numbers (< 20),  and incomplete TS data of A50.%"
9,A5030,Syphilitic oculopathy,CODE EXCLUDED,EYE004,"Late congenital syphilitic oculopathy, unspecified                ","Very low numbers (< 20),  and incomplete TS data of A50.%"
10,A5031,Syphilitic oculopathy,CODE EXCLUDED,EYE001,Late congenital syphilitic interstitial keratitis,"Very low numbers (< 20),  and incomplete TS data of A50.%"
11,A5143,Syphilitic oculopathy,syphilitic oculopathy,EYE004,Secondary syphilitic oculopathy                  ,"Low numbers (< 150), but complete TS data of A51.43%"
12,A5271,Syphilitic oculopathy,syphilitic oculopathy,EYE004,Late syphilitic oculopathy                  ,"Very low numbers (< 20),  but complete TS data of A52.71%"
