"month","year","dx_name","num_dx_records","num_dx_patients","tot_num_dx_records","tot_num_dx_patients"
4,2017,iris/CB degenerations,4443,3900,8714197,2645419
4,2017,lacrimal gland atrophy,370,357,8714197,2645419
4,2017,lacrimal gland dislocation,61,59,8714197,2645419
4,2017,lens dislocation,4555,3301,8714197,2645419
4,2017,optic neuritis,4292,3649,8714197,2645419
4,2017,"orbit penetrating wound, unspec",53,39,8714197,2645419
4,2017,other corneal disorders,12338,9055,8714197,2645419
4,2017,other scleral disorders,1603,1401,8714197,2645419
4,2017,other superficial keratitis w/o conjunctivitis ,11349,9131,8714197,2645419
4,2017,other visual pathway disorders,743,696,8714197,2645419
4,2017,other vitreous opacities,139192,117502,8714197,2645419
4,2017,other/unspec peripheral retinal degeneration,22394,19435,8714197,2645419
4,2017,panuveitis,3830,2939,8714197,2645419
4,2017,posterior uveitis,10544,8088,8714197,2645419
4,2017,prosthetic/implant/graft other mech compl,2322,1652,8714197,2645419
4,2017,retained foreign body - eyelid,551,421,8714197,2645419
4,2017,retinal ischemia,8009,7013,8714197,2645419
4,2017,retinal vasculitis,1515,1230,8714197,2645419
4,2017,retinoschisis / retinal cysts,7120,5949,8714197,2645419
4,2017,secondary uveitis - infectious,2124,1579,8714197,2645419
4,2017,secondary uveitis - noninfectious,3992,3049,8714197,2645419
4,2017,syphilitic oculopathy,54,48,8714197,2645419
4,2017,total ophthalmoplegia,18,15,8714197,2645419
4,2017,unspec macular degeneration,13358,12326,8714197,2645419
4,2017,venous engorgement,1116,962,8714197,2645419
4,2017,vitreous degeneration,446116,382361,8714197,2645419
4,2017,vitreous membranes/strands,7532,6368,8714197,2645419
4,2017,vitreous prolapse,1589,1260,8714197,2645419
4,2017,"wet AMD, unspec stage",23522,18368,8714197,2645419
4,2017,xanthelasma,1068,573,8714197,2645419
5,2017,CME post-cataract surg,4933,3806,9773094,2895214
5,2017,CRVO,43420,33994,9773094,2895214
5,2017,"FB, external eye other/unspec",472,394,9773094,2895214
5,2017,IOL breakdown,118,102,9773094,2895214
5,2017,IOL other mech compl,2188,1515,9773094,2895214
5,2017,NPDR w/o DME,131499,92839,9773094,2895214
5,2017,"PDR, stable",12763,6168,9773094,2895214
5,2017,PRAO,3415,3044,9773094,2895214
5,2017,"RD, other",6041,5283,9773094,2895214
5,2017,"RD, serous",4487,3521,9773094,2895214
5,2017,"ROP, stage 1",414,270,9773094,2895214
5,2017,"ROP, stage 2",308,194,9773094,2895214
5,2017,"ROP, stage 5",53,46,9773094,2895214
5,2017,"ROP, stage unspec",1393,1138,9773094,2895214
5,2017,"RPE detachment, serous",14877,12751,9773094,2895214
5,2017,"RVO, unspec",646,534,9773094,2895214
5,2017,TRAO,571,468,9773094,2895214
5,2017,abnormal innervation syndrome,48,40,9773094,2895214
5,2017,acute postop pain NEC,160,97,9773094,2895214
5,2017,"amblyopia, refractive",17380,16142,9773094,2895214
5,2017,"amblyopia, suspect",2371,2231,9773094,2895214
5,2017,anisometropia/aniseikonia,6250,5750,9773094,2895214
5,2017,anterior synechiae (iris),1182,909,9773094,2895214
5,2017,"anterior uveitis - acute, other/unspec",5809,4483,9773094,2895214
5,2017,"anterior uveitis - acute, recurrent",7040,5254,9773094,2895214
5,2017,anterior uveitis - chronic,8212,6371,9773094,2895214
5,2017,anterior uveitis - other,15183,11739,9773094,2895214
5,2017,aphakia,13216,10307,9773094,2895214
