"","2020-01-01","2020-02-01","2020-03-01","2020-04-01","2020-05-01","2020-06-01","2020-07-01","2020-08-01","2020-09-01","2020-10-01","2020-11-01","2020-12-01","2021-01-01","2021-02-01","2021-03-01","2021-04-01","2021-05-01","2021-06-01","2021-07-01","2021-08-01","2021-09-01","2021-10-01","2021-11-01","2021-12-01"
"abducent nerve palsy",-0.0309896534638313,-0.0339119719313396,-0.307736212585801,-0.589133819377915,-0.262104516593299,0.0362564134740449,-0.0139742366453256,-0.145715550774349,-0.0946050786781468,-0.106917122547325,-0.102458548651947,-0.0527101844284087,-0.0984301234242054,-0.131717790982161,-0.0440320251496063,-0.0436685290591905,-0.0884994979163565,0.0801487474182812,-0.0370514739729617,-0.0837215852637214,-0.120518885377665,-0.15345726312781,-0.0662610511071857,-0.0909622999522326
"accommodation disorders",-0.111634731615012,-0.00321285649275964,-0.433762608738546,-0.893766415092146,-0.491612988538707,-0.113093669372928,-0.122712133309223,-0.208894063500555,-0.0551043045981081,-0.224138749244349,-0.276143467198311,-0.0497083693385477,-0.240249052247493,-0.0322955590766092,0.0382782742268526,-0.229213312705914,-0.201462471385846,0.0356429018308942,-0.189736246202903,-0.271989891962014,-0.21080588783326,-0.449699057298904,-0.31420770631585,-0.233652714825528
"amblyopia, deprivation",0.013489723396328,-0.0826462486249679,-0.369785637564371,-0.78005275617201,-0.386455532421111,-0.0654234898978277,-0.0389237453919151,-0.197748364494704,-0.0504352669778986,-0.125546189230483,-0.190568804476336,-0.112597224577216,-0.164512806280526,-0.175711705735986,-0.0663269273699497,-0.172414778843062,-0.234903087306844,-0.0432875675362949,-0.131964694420117,-0.155688302577416,-0.131509659333929,-0.20685969666537,-0.209178990144774,-0.133824108778541
"amblyopia, refractive",-0.0174570557565713,-0.0316427947020183,-0.430145448485847,-0.859172785909996,-0.484911372962634,-0.113947651123238,-0.115211618117612,-0.238142976740685,-0.0935592295001059,-0.180681332608963,-0.232905132659066,-0.146073952876395,-0.20358452110189,-0.193653999598498,-0.0530961161467423,-0.122104470395985,-0.200469477898144,-0.061750781044068,-0.14735656600185,-0.207302534432265,-0.137508921002317,-0.241715155579897,-0.188587778807514,-0.188467784651502
"amblyopia, strabismic",-0.0640167012738462,0.0444683315780647,-0.356459864076865,-0.81867707028737,-0.411481720444056,-0.0135892840263103,-0.128628155128555,-0.151534532962479,-0.0506493544944078,-0.201213605130818,-0.129909526495893,-0.0296389016490952,-0.220421684893764,-0.0656683170826088,0.0543241592435386,-0.149897748671234,-0.106872836420585,0.0754281290265004,-0.151844699064104,-0.0507899391136234,0.0146284867583541,-0.240115554670371,-0.0611631513929922,-0.0405680931669772
"amblyopia, suspect",-0.129755883485581,-0.189652346617899,-0.46584002323128,-0.876527977073725,-0.541577336944882,-0.227639722352047,-0.279561647292595,-0.407004590138393,-0.274109150329279,-0.328045424212538,-0.340843426719317,-0.292716225406966,-0.361923464825288,-0.420225804893556,-0.207385181102858,-0.188223622441813,-0.319353914888602,-0.292653155997223,-0.386349914762558,-0.454870698943719,-0.346309474655119,-0.421881446626584,-0.336806025405903,-0.404997682121632
"amblyopia, unspec",0.0132470322446022,-0.00927709947017365,-0.362081779943397,-0.754920506111362,-0.442829953765379,-0.0526071610914237,-0.0797955034297864,-0.164736837122015,-0.0464313536326717,-0.118528977273727,-0.145007637359255,-0.0568191139418789,-0.113800330098078,-0.107434369379649,0.0288941825925982,-0.0491501455042073,-0.164019989061516,-0.00961765026278582,-0.0477650026860939,-0.0704183058091709,-0.036945107910068,-0.147006209526722,-0.10050463188715,-0.0982971071272884
"angoid streaks of macula",0.0248941750893371,0.00791089905543398,-0.254368544941358,-0.473620026115681,-0.281605853377059,-0.0288088053546402,-0.00978416032433957,-0.0869274092049128,0.0288923233243948,-0.125412362141216,-0.092239230023999,-0.0629044347276885,-0.164511118249375,-0.00487195414524185,-0.0457558614322169,-0.0684136800169238,-0.183651452244206,-0.00319975934160932,-0.111200062598556,-0.0447235241825655,-0.0300504309676931,-0.155603101921631,-0.0976079010707729,-0.0710815572779607
"anisometropia/aniseikonia",0.0124692600648388,0.0066856679798542,-0.376122902317561,-0.846070268106316,-0.460101733420224,-0.0901653742297791,-0.0976012101957989,-0.19629316991419,-0.100973297056285,-0.170969299852125,-0.205228083906922,-0.121548138730387,-0.138421890287683,-0.129464283865251,-0.0104456162025977,-0.0788451083430681,-0.167926483454843,-0.0228014412959525,-0.112592666171031,-0.176425582457067,-0.13898147710466,-0.205166680888004,-0.175044071024974,-0.153789917704376
"anterior synechiae (iris)",-0.0684199007138883,-0.0404851350412867,-0.356402985660987,-0.755209217404455,-0.36267507009937,-0.0806184597555972,-0.221471470407683,-0.305165415012558,-0.274383020726037,-0.185673809085484,-0.163639541449904,-0.0781950899658494,-0.186060139478766,-0.259739024628755,-0.150615410680042,-0.190136569712551,-0.239601498385981,-0.0756977076549519,-0.190204878524469,-0.250419132332834,-0.46859324843797,-0.341372256682805,-0.158884233230055,-0.449791310749965
