"","entity_name","meanQ32020","medianQ32020","upperboundQ32020","lowerboundQ32020","confintQ32020","pvalEmpricialQ32020","meanQ42020","medianQ42020","upperboundQ42020","lowerboundQ42020","confintQ42020","pvalEmpricialQ42020","meanQ12021","medianQ12021","upperboundQ12021","lowerboundQ12021","confintQ12021","pvalEmpricialQ12021","meanQ22021","medianQ22021","upperboundQ22021","lowerboundQ22021","confintQ22021","pvalEmpricialQ22021","meanQ32021","medianQ32021","upperboundQ32021","lowerboundQ32021","confintQ32021","pvalEmpricialQ32021","meanQ42021","medianQ42021","upperboundQ42021","lowerboundQ42021","confintQ42021","pvalEmpricialQ42021","meanAllpost","medianAllpost","upperboundAllpost","lowerboundAllpost","confintAllpost","pvalEmpricialAllpost"
"1","other scleral disorders","-0.101991742794466","-0.10240503809173","-0.0463633701277413","-0.154357941609025","(-0.154,-0.046)","0.00089","-0.121967623167776","-0.122555024092044","-0.0680179738355519","-0.172995497304284","(-0.173,-0.068)","0.00011","-0.0872182277911171","-0.0876486397684146","-0.025843137939169","-0.145673358391602","(-0.146,-0.026)","0.00969","-0.141077624801872","-0.141604059559144","-0.0831581670415928","-0.195795338884405","(-0.196,-0.083)","0.00005","-0.116319148271177","-0.11706729008732","-0.0571293832182945","-0.171750378911595","(-0.172,-0.057)","0.00067","-0.169964568207967","-0.170599318455355","-0.114684346059657","-0.221901870011648","(-0.222,-0.115)","0.00001","-0.119620875004225","-0.119722388735172","-0.0970448752457301","-0.141501890549252","(-0.142,-0.097)","0.00001"
"3","conjunctivitis - infectious","-0.289723762367098","-0.290309654576666","-0.233131043666211","-0.342838169578216","(-0.343,-0.233)","0.00001","-0.347053935542306","-0.347575884220225","-0.295236114878411","-0.395528902767921","(-0.396,-0.295)","0.00001","-0.386072083377855","-0.386801013595233","-0.333229884138773","-0.435517574574571","(-0.436,-0.333)","0.00001","-0.33486207451383","-0.335562833658336","-0.277220819091214","-0.388431465717066","(-0.388,-0.277)","0.00001","-0.276379664801158","-0.277150723390209","-0.214199236797647","-0.334820615288196","(-0.335,-0.214)","0.00001","-0.354904573155112","-0.355427303195904","-0.299280209855987","-0.40729260209554","(-0.407,-0.299)","0.00001","-0.328414371610187","-0.328514662824154","-0.30653730150413","-0.349759160634438","(-0.35,-0.307)","0.00001"
"4","episcleritis","-0.11798999882854","-0.118366028491111","-0.0649826156923502","-0.168373226351225","(-0.168,-0.065)","0.00013","-0.0669021432501187","-0.0673000108340215","-0.0109680055283098","-0.120378523767146","(-0.12,-0.011)","0.02556","-0.191888180681353","-0.192420922213158","-0.130394263321354","-0.2501548678128","(-0.25,-0.13)","0.00001","-0.117990989101966","-0.1186331521753","-0.0507745722706116","-0.180730190116392","(-0.181,-0.051)","0.00172","-0.066794626269027","-0.067468915335","0.00413588071703189","-0.133900873593815","(-0.134,0.004)","0.07665","-0.0471739513871993","-0.04789409432466","0.0261280453138835","-0.116170696977843","(-0.116,0.026)","0.21622","-0.102069541109965","-0.102220062646052","-0.077241962298162","-0.126366172527624","(-0.126,-0.077)","0.00001"
"5","keratitis - infectious","-0.127587157337978","-0.128252678216726","-0.0650771104784384","-0.186358063471321","(-0.186,-0.065)","0.00047","-0.131688520287786","-0.132261245090244","-0.0694953289412886","-0.190558344404436","(-0.191,-0.069)","0.00031","-0.135492313391325","-0.136384381222253","-0.0604602332606892","-0.205756842581826","(-0.206,-0.06)","0.00168","-0.0552542464090391","-0.0562651409587747","0.0259013821576975","-0.131446113053063","(-0.131,0.026)","0.19291","-0.102703214482618","-0.103618011479484","-0.0249680188334252","-0.175325715758395","(-0.175,-0.025)","0.0169","-0.137093036143171","-0.137835088519952","-0.062631230636937","-0.20686431208564","(-0.207,-0.063)","0.00158","-0.110150012874763","-0.110344819666094","-0.0818895027351017","-0.137616285624753","(-0.138,-0.082)","0.00001"
"6","corneal ulcer - unperforated, w/ str involv","-0.153048181223516","-0.153427065125274","-0.0988789818109117","-0.204597911761753","(-0.205,-0.099)","0.00002","-0.155454244891431","-0.155944950028522","-0.100944616372667","-0.206761278042357","(-0.207,-0.101)","0.00002","-0.115346749743314","-0.116013048758116","-0.0527152016923712","-0.174331499469253","(-0.174,-0.053)","0.00099","-0.0803144006781481","-0.0809266557628452","-0.0164728242030932","-0.141151477495101","(-0.141,-0.016)","0.02108","-0.0839710542558151","-0.0845755909594225","-0.0201022154431822","-0.144497371354182","(-0.144,-0.02)","0.01548","-0.146034035674566","-0.146660387138506","-0.0864799937807342","-0.202442581823994","(-0.202,-0.086)","0.00005","-0.122432538818882","-0.122491375422952","-0.0990594033743352","-0.14550415743378","(-0.146,-0.099)","0.00001"
"7","keratoconjunctivitis - infectious","-0.367040367280919","-0.36816984316468","-0.292587204839213","-0.434480605751685","(-0.434,-0.293)","0.00001","-0.346460322720473","-0.347751128232212","-0.269920240451","-0.415459335867345","(-0.415,-0.27)","0.00001","-0.394382704466366","-0.395647803352947","-0.315153219228888","-0.465826175307056","(-0.466,-0.315)","0.00001","-0.373598177641935","-0.3750588742486","-0.293002620569442","-0.446236684652948","(-0.446,-0.293)","0.00001","-0.353217338362516","-0.354724036202665","-0.270252810906758","-0.427644633203492","(-0.428,-0.27)","0.00001","-0.440687650066189","-0.442085536822507","-0.369078697574283","-0.505088266901593","(-0.505,-0.369)","0.00001","-0.376147631655999","-0.376372463379647","-0.346147366617042","-0.404758868962736","(-0.405,-0.346)","0.00001"
"8","corneal ulcer - perforated","-0.0867986996460389","-0.0879473215477884","-0.012426830722197","-0.154786122408504","(-0.155,-0.012)","0.0275","-0.12168354324198","-0.122646263438879","-0.050034915195912","-0.187018813073633","(-0.187,-0.05)","0.00209","-0.114392139799631","-0.115545174975855","-0.0358816975914137","-0.185609151570941","(-0.186,-0.036)","0.00756","-0.107406406658621","-0.108611135424172","-0.02954578985766","-0.178062466950782","(-0.178,-0.03)","0.01083","-0.203751851903417","-0.204805706727568","-0.135062763756735","-0.266566987149275","(-0.267,-0.135)","0.00001","-0.260078632003839","-0.261076157694463","-0.196605770800826","-0.318266524883314","(-0.318,-0.197)","0.00001","-0.141875641709385","-0.142042015657916","-0.113524848211133","-0.169211101392518","(-0.169,-0.114)","0.00001"
"9","corneal neovascularization","-0.151489131038074","-0.151763386018396","-0.106121875108922","-0.195160593472283","(-0.195,-0.106)","0.00001","-0.146213617517842","-0.146588121695823","-0.100276685155944","-0.190015869744487","(-0.19,-0.1)","0.00001","-0.0800721576250586","-0.080581211236821","-0.0259076044240206","-0.131426432333649","(-0.131,-0.026)","0.00595","-0.0720667506887295","-0.0725604849428325","-0.0178116163443481","-0.124097012059873","(-0.124,-0.018)","0.01397","-0.1168813188313","-0.117339958906164","-0.065097010621758","-0.166237860274983","(-0.166,-0.065)","0.00008","-0.172527346781016","-0.17284249784733","-0.124306614999759","-0.218480383914316","(-0.218,-0.124)","0.00001","-0.122166959955879","-0.122199070904379","-0.10264353107533","-0.141389012601301","(-0.141,-0.103)","0.00001"
"10","malignant neoplasm - conjunctiva","-0.185316077761556","-0.186150469825067","-0.123578977856201","-0.242501399235122","(-0.243,-0.124)","0.00002","-0.118948551990512","-0.119986858760734","-0.0514243176448486","-0.180993786045453","(-0.181,-0.051)","0.00125","-0.0129385372154225","-0.0139586014317041","0.0694097653492662","-0.0888241040522556","(-0.089,0.069)","0.74995","-0.0849391432504221","-0.0857264970990822","-0.0115533338156852","-0.152762872001758","(-0.153,-0.012)","0.02837","-0.0518498330528906","-0.0528989225043828","0.0237286608627593","-0.121569523594734","(-0.122,0.024)","0.18149","-0.0559270120569176","-0.0570320354460054","0.020794116632992","-0.126543631714939","(-0.127,0.021)","0.15709","-0.0801428670727251","-0.0803127658550066","-0.0516712677840544","-0.107732418836831","(-0.108,-0.052)","0.00001"
"13","interstitial/deep keratitis","-0.178109315701117","-0.17839999799689","-0.145583702069541","-0.209310681831256","(-0.209,-0.146)","0.00001","-0.070305724319937","-0.070573548166231","-0.0326314449345928","-0.106268916814476","(-0.106,-0.033)","0.00051","-0.0600367287957914","-0.0603131289553219","-0.0196358143968253","-0.0985519208956509","(-0.099,-0.02)","0.00521","-0.0643753713106109","-0.0647155073811309","-0.0244473476075404","-0.102136520998421","(-0.102,-0.024)","0.0023","-0.16703000131988","-0.167253708776287","-0.131420896380727","-0.200952165086006","(-0.201,-0.131)","0.00001","-0.17067874753479","-0.170959811365372","-0.134819388813568","-0.204910608732605","(-0.205,-0.135)","0.00001","-0.11638316489066","-0.116426203793745","-0.101778773205824","-0.130683739831616","(-0.131,-0.102)","0.00001"
"14","corneal pigmentations/deposits","-0.175144209105193","-0.175643989807329","-0.123612898185519","-0.223680747010218","(-0.224,-0.124)","0.00001","-0.15477002140776","-0.155442641233889","-0.101493000765475","-0.204656896024213","(-0.205,-0.101)","0.00001","-0.0875765656995329","-0.0882461042088991","-0.0218599385921097","-0.14917325491708","(-0.149,-0.022)","0.01228","-0.102384866516107","-0.103143723573016","-0.038360951746517","-0.161910330885051","(-0.162,-0.038)","0.00311","-0.12311699409689","-0.123851153515056","-0.0609851289909694","-0.180761864324673","(-0.181,-0.061)","0.00036","-0.171761575239359","-0.172450789683177","-0.114038849034661","-0.226294404803735","(-0.226,-0.114)","0.00001","-0.132076684244004","-0.132160917540591","-0.109110266956692","-0.154610336867255","(-0.155,-0.109)","0.00001"
"15","benign neoplasm - conjunctiva","-0.107567450084097","-0.108512493651565","-0.0378807170817662","-0.17225092949775","(-0.172,-0.038)","0.00457","-0.124432961415419","-0.125286157748375","-0.0567655495705414","-0.18701343224491","(-0.187,-0.057)","0.0012","-0.0575518082219252","-0.0585419098380779","0.0194536186881072","-0.128849434868636","(-0.129,0.019)","0.14975","-0.033271536612825","-0.0344519977309954","0.0451588047488211","-0.105447003872006","(-0.105,0.045)","0.40108","-0.064348965473161","-0.0654324594870091","0.0111685358490218","-0.134288815338291","(-0.134,0.011)","0.10242","-0.138037749480174","-0.139004088327723","-0.068705238016266","-0.201954316433463","(-0.202,-0.069)","0.00049","-0.0896308428246566","-0.0897812770121049","-0.0613407231947594","-0.117117685860714","(-0.117,-0.061)","0.00001"
"17","keratoconjunctivitis - noninfectious","-0.101458775824696","-0.101651540103144","-0.0682988306355146","-0.133498302932554","(-0.133,-0.068)","0.00001","-0.100946143475837","-0.10104609672908","-0.0676617958030582","-0.133255164525775","(-0.133,-0.068)","0.00001","-0.0550494517258738","-0.0552841015573593","-0.0131208398893313","-0.0956047957835594","(-0.096,-0.013)","0.01297","-0.0419834348906648","-0.0422681866628375","0.000241642459786244","-0.0830514484033263","(-0.083,0)","0.05709","-0.0544045278177211","-0.0546532301113035","-0.0127399751246051","-0.0946467323015461","(-0.095,-0.013)","0.01388","-0.108498501268955","-0.108740458182103","-0.0690968613989055","-0.146727991742547","(-0.147,-0.069)","0.00002","-0.0736415951148613","-0.0736439889973014","-0.0583538133953725","-0.0887636798838742","(-0.089,-0.058)","0.00001"
"18","keratoconjunctivitis - other/unspec","-0.0861870509875209","-0.0863373980438778","-0.057568888384594","-0.113443238877843","(-0.113,-0.058)","0.00001","-0.0765156652761056","-0.0766719024368081","-0.047498685192396","-0.104678980308322","(-0.105,-0.047)","0.00001","-0.0370731208054869","-0.0373266373843963","-0.00389413254425642","-0.0687266911595733","(-0.069,-0.004)","0.02896","0.094039115463849","0.0937827890157802","0.131368308013677","0.0583282224249059","(0.058,0.131)","0.00001","0.137262109652886","0.136985894446774","0.17574116003216","0.0999638617970118","(0.1,0.176)","0.00001","0.0581516361020831","0.0578994890879575","0.0944798600067278","0.0232570697473934","(0.023,0.094)","0.00058","0.0123138963155099","0.0122780080794471","0.0256412854731839","-0.000787923244068817","(-0.001,0.026)","0.06083"
"19","corneal degen - other/unspec","-0.170734820770644","-0.17222612236944","-0.0878623670335539","-0.2460412920889","(-0.246,-0.088)","0.00049","-0.0998219527869889","-0.101376167638706","-0.00940025685406237","-0.181228411937166","(-0.181,-0.009)","0.03641","0.0146050397775819","0.0123073377634678","0.134426280998861","-0.0926898626690033","(-0.093,0.134)","0.79597","0.0406178384160211","0.0380918764850754","0.16466023482295","-0.0702081263743341","(-0.07,0.165)","0.46358","0.0522666135680863","0.049725707382666","0.175280983159931","-0.0571812989196717","(-0.057,0.175)","0.34916","-0.0767647775220219","-0.0787974040067934","0.0331227704344186","-0.174174955887276","(-0.174,0.033)","0.16751","-0.0316244046442788","-0.0319475917226257","0.0105389045976123","-0.0720372660756162","(-0.072,0.011)","0.13508"
"20","other hereditary corneal dystrophies","-0.122158149975817","-0.122601682245899","-0.0797860118939417","-0.162735014074292","(-0.163,-0.08)","0.00001","-0.150584936371661","-0.150852252106561","-0.109500927651219","-0.190011056147107","(-0.19,-0.11)","0.00001","-0.0879870943510113","-0.0883120392950717","-0.0394087935198781","-0.134549405086097","(-0.135,-0.039)","0.00103","-0.0979476015632595","-0.0983419862495525","-0.0502196583600603","-0.143603060460767","(-0.144,-0.05)","0.00023","-0.0763987613160137","-0.0766518313438998","-0.0277882622259351","-0.123310038609968","(-0.123,-0.028)","0.00387","-0.164170064262065","-0.16449456952658","-0.120234265368249","-0.206109385170973","(-0.206,-0.12)","0.00001","-0.114698722087356","-0.114748205890761","-0.0968677466464165","-0.132144348731392","(-0.132,-0.097)","0.00001"
"21","Fuch's endothelial dystrophy","-0.150810534546937","-0.151204794321586","-0.109670745591546","-0.190285771593943","(-0.19,-0.11)","0.00001","-0.162651590170628","-0.162888190031946","-0.122343481968174","-0.201560332832563","(-0.202,-0.122)","0.00001","-0.141198883104125","-0.141627533776873","-0.0910355567896397","-0.188727324981494","(-0.189,-0.091)","0.00001","-0.123366454437254","-0.123744674960019","-0.0728224600316778","-0.172102180370313","(-0.172,-0.073)","0.00003","-0.126093154377968","-0.126465655406881","-0.0752511364324522","-0.174823921412381","(-0.175,-0.075)","0.00003","-0.194669284833115","-0.194947782664144","-0.148063636120923","-0.239012033740449","(-0.239,-0.148)","0.00001","-0.146383620690323","-0.146434530879072","-0.128072423751317","-0.16436133602702","(-0.164,-0.128)","0.00001"
"22","keratoconus","-0.125918517535508","-0.126313586917478","-0.0820024441628458","-0.167528419922443","(-0.168,-0.082)","0.00001","-0.145130685147833","-0.145431075645547","-0.10263908470377","-0.186087642915963","(-0.186,-0.103)","0.00001","-0.120731805316283","-0.121036245585571","-0.0730833561132788","-0.166759462073838","(-0.167,-0.073)","0.00003","-0.102511409138162","-0.102928731833678","-0.0539905308531407","-0.148955588154465","(-0.149,-0.054)","0.00017","-0.115519549525033","-0.115957778327004","-0.0673378685384203","-0.161169736114927","(-0.161,-0.067)","0.00007","-0.176085066279691","-0.176428484761825","-0.131565853473141","-0.218701917391972","(-0.219,-0.132)","0.00001","-0.130235117525448","-0.130261659383614","-0.112358169371602","-0.147958631411542","(-0.148,-0.112)","0.00001"
