"","entity_name","catCode","meanQ32020","medianQ32020","upperboundQ32020","lowerboundQ32020","confintQ32020","pvalEmpricialQ32020","meanQ42020","medianQ42020","upperboundQ42020","lowerboundQ42020","confintQ42020","pvalEmpricialQ42020","meanQ12021","medianQ12021","upperboundQ12021","lowerboundQ12021","confintQ12021","pvalEmpricialQ12021","meanQ22021","medianQ22021","upperboundQ22021","lowerboundQ22021","confintQ22021","pvalEmpricialQ22021","meanQ32021","medianQ32021","upperboundQ32021","lowerboundQ32021","confintQ32021","pvalEmpricialQ32021","meanQ42021","medianQ42021","upperboundQ42021","lowerboundQ42021","confintQ42021","pvalEmpricialQ42021","meanAllpost","medianAllpost","upperboundAllpost","lowerboundAllpost","confintAllpost","pvalEmpricialAllpost","Category","rn","Q32020w","Q42020w","Q12021w","Q22021w","Q32021w","Q42021w","2020-04-01","Apr 2020","RMSPE","mean_monthly_pts","median_monthly_pts","short_name","recoveredMonth","fullRecovery","recoveredMonthNum","adj.pval_Q32020","adj.pval_Q42020","adj.pval_Q12021","adj.pval_Q22021","adj.pval_Q32021","adj.pval_Q42021","Q32020w_adj","Q42020w_adj","Q12021w_adj","Q22021w_adj","Q32021w_adj","Q42021w_adj"
"1","abducent nerve palsy","E",-0.0820473451522551,-0.0826293615538183,-0.0184074765899936,-0.142766227995603,"(-0.143,-0.018)",0.01783,-0.0863296061564406,-0.0868888256660828,-0.0227635781647087,-0.146719160771068,"(-0.147,-0.023)",0.01217,-0.0876814948871408,-0.0885035157418514,-0.0112874559628475,-0.159602147788816,"(-0.16,-0.011)",0.03442,-0.0171070385798196,-0.0180670175969277,0.065051676712078,-0.0940944823638077,"(-0.094,0.065)",0.6768,-0.0768922062507949,-0.0777691470433014,0.000633770558011869,-0.150164713483032,"(-0.15,0.001)",0.06409,-0.102640961779791,-0.103596499244667,-0.0279860008296649,-0.17233011245114,"(-0.172,-0.028)",0.01355,-0.0694450530020522,-0.0695842709834498,-0.0409459310690569,-0.0973465260963433,"(-0.097,-0.041)",0.00004,"Neuro-ophthalmology",1,-0.33039422637084,-0.380608359473118,-0.295409257815675,-0.0066782366658655,-0.211258794115307,-0.441496623586735,-0.589133819377915,-5.31871120600399,0.0569716430781316,3492.05,3522.5,"Neuro","6",TRUE,6,0.03566,0.03566,0.05163,0.6768,0.076908,0.03566,-0.273523340406125,-0.287799223826632,-0.259857471012175,-0.0066782366658655,-0.19723968736634,-0.342176808724374
"2","accommodation disorders","J",-0.127623523204298,-0.128000220305554,-0.0842699354843692,-0.169226201036486,"(-0.169,-0.084)",0.00001,-0.182164644230719,-0.182486528785887,-0.141024820111741,-0.221109097625697,"(-0.221,-0.141)",0.00001,-0.0766184634175929,-0.0770955012917608,-0.0239404200640034,-0.126501036433699,"(-0.127,-0.024)",0.0062,-0.130180742946925,-0.130711239845997,-0.0779860300215101,-0.179421147846837,"(-0.179,-0.078)",0.00001,-0.222904032922348,-0.223349639306156,-0.177877725495897,-0.265104040390119,"(-0.265,-0.178)",0.00001,-0.331511696804002,-0.331885416870465,-0.292570138061342,-0.368518339732225,"(-0.369,-0.293)",0.00001,-0.174982648947211,-0.175035079221906,-0.156947550499686,-0.192536247714646,"(-0.193,-0.157)",0.00001,"Refractive error",2,-1.46932011022798,-2.09724797138109,-0.389467431953769,-1.4987611905224,-2.56627751687626,-3.81666945607028,-0.893766415092146,-9.59258660286498,0.0520239616387514,921.47,931,"Refra","No recovery",FALSE,0,0.000012,0.000012,0.0062,0.000012,0.000012,0.000012,-1.44605159079384,-2.06403542985213,-0.389467431953769,-1.47502643480372,-2.52563730657821,-3.75622772741357
"3","amblyopia, deprivation","A",-0.0935851810225893,-0.0941379277695677,-0.0365758209423607,-0.147457028107584,"(-0.147,-0.037)",0.00269,-0.140896543135025,-0.141395092021184,-0.0868005138291253,-0.191943241778839,"(-0.192,-0.087)",0.00002,-0.133340242059281,-0.133929381593927,-0.0738543215476119,-0.189489326940271,"(-0.189,-0.074)",0.0001,-0.148019263874858,-0.148566322233754,-0.0903064034049508,-0.202910423493412,"(-0.203,-0.09)",0.00004,-0.137573608754218,-0.138173575305712,-0.0795483623052909,-0.192634976331496,"(-0.193,-0.08)",0.00005,-0.180956266627908,-0.181500665193064,-0.125234030514687,-0.233681156770917,"(-0.234,-0.125)",0.00001,-0.135037357069408,-0.135106227531515,-0.112603492404976,-0.156958705482809,"(-0.157,-0.113)",0.00001,"Blindness and vision defects",3,-0.553857136509639,-1.52446935776082,-1.22810901464767,-1.49893648152417,-1.36245852185487,-2.08333601010638,-0.78005275617201,-7.35861513466702,0.0793530969758845,1426.73,1452,"Blind","No recovery",FALSE,0,0.00269,0.00006,0.00012,0.000075,0.000075,0.00006,-0.553857136509639,-1.36967868404183,-1.20379821413214,-1.40589029049111,-1.30667722370851,-1.75910590585967
"4","amblyopia, refractive","A",-0.148654718948305,-0.148950499689831,-0.106733622319855,-0.189083153715517,"(-0.189,-0.107)",0.00001,-0.18518920909377,-0.185476658104772,-0.144702215174461,-0.223690792904079,"(-0.224,-0.145)",0.00001,-0.148418091689207,-0.14880948036499,-0.102803351440383,-0.19222002054262,"(-0.192,-0.103)",0.00001,-0.127679652568002,-0.128089196017522,-0.0808552873965511,-0.172626184568161,"(-0.173,-0.081)",0.00001,-0.163796974640672,-0.164171386434533,-0.118607154291604,-0.206866769824332,"(-0.207,-0.119)",0.00001,-0.20490092391375,-0.205108689262648,-0.162465274661495,-0.245894454363829,"(-0.246,-0.162)",0.00001,-0.160375453994575,-0.160429719682144,-0.143276906109782,-0.177264316375747,"(-0.177,-0.143)",0.00001,"Blindness and vision defects",4,-1.71145069926793,-2.13206956121336,-1.70872642727096,-1.4699663234087,-1.88578236042568,-2.35900906472254,-0.859172785909996,-8.70052585737791,0.049540862209211,17705.08,17978.5,"Blind","No recovery",FALSE,0,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,-1.71145069926793,-2.13206956121336,-1.70872642727096,-1.4699663234087,-1.88578236042568,-2.35900906472254
"5","amblyopia, strabismic","A",-0.109926872963184,-0.110149410123629,-0.0706106310047084,-0.147770526461172,"(-0.148,-0.071)",0.00002,-0.119426503807338,-0.119665642969056,-0.0801071850671009,-0.157399284884107,"(-0.157,-0.08)",0.00001,-0.0758698771721353,-0.0762331911525294,-0.0259662381616332,-0.123499417570545,"(-0.123,-0.026)",0.00471,-0.0594658461870767,-0.0598397415451695,-0.00913194111516163,-0.10799812321694,"(-0.108,-0.009)",0.02588,-0.0620649914257706,-0.0624846039869595,-0.0119839200241476,-0.109888464362629,"(-0.11,-0.012)",0.01969,-0.11298048022876,-0.113283380307648,-0.0654730434221932,-0.158915602262316,"(-0.159,-0.065)",0.00005,-0.0858295702746297,-0.085889859749798,-0.0676547518138338,-0.10366605591879,"(-0.104,-0.068)",0.00001,"Blindness and vision defects",5,-1.18938439296019,-1.37494843687587,-0.406515913314291,-0.217305138396545,-0.243769215161116,-1.11890077962508,-0.81867707028737,-8.29044068398115,0.0600667526225364,8564.45,8684,"Blind","No recovery",FALSE,0,0.00006,0.00006,0.007065,0.02588,0.023628,0.0001,-1.06861737946797,-1.16096486780227,-0.375753325364538,-0.217305138396545,-0.232453429301966,-1.0405886782962
"6","amblyopia, suspect","A",-0.310110684956219,-0.311175664294453,-0.239483196390603,-0.375338006969046,"(-0.375,-0.239)",0.00001,-0.303869371810357,-0.304814474574047,-0.233855695478509,-0.368968648701261,"(-0.369,-0.234)",0.00001,-0.316800144714933,-0.318191688207937,-0.23082228101465,-0.394908973560225,"(-0.395,-0.231)",0.00001,-0.257609229510199,-0.259115035978921,-0.166382234773467,-0.341165319552223,"(-0.341,-0.166)",0.00004,-0.382480049690271,-0.383638903571906,-0.306375348196638,-0.451940332247835,"(-0.452,-0.306)",0.00001,-0.368755636894266,-0.36981868153762,-0.291494916774797,-0.438992452293173,"(-0.439,-0.291)",0.00001,-0.317317042933977,-0.317502801866679,-0.286708281546829,-0.346881037181154,"(-0.347,-0.287)",0.00001,"Blindness and vision defects",6,-3.57028120179181,-3.49842542873997,-3.64729645339481,-2.6087136361969,-4.4034643039222,-4.24545616235131,-0.876527977073725,-7.91331106905521,0.0971328859714537,3643.13,3851.5,"Blind","No recovery",FALSE,0,0.000012,0.000012,0.000012,0.00004,0.000012,0.000012,-3.51374133893216,-3.4430234918095,-3.58953695781783,-2.6087136361969,-4.33372994582004,-4.1782240605562
"7","amblyopia, unspec","A",-0.0943285238311133,-0.0947397459763793,-0.042916402166332,-0.143677616482635,"(-0.144,-0.043)",0.00106,-0.106510723549207,-0.10693805034339,-0.0560752246895896,-0.15513345988764,"(-0.155,-0.056)",0.00035,-0.0602787573953252,-0.0608430799115796,0.00416858047664598,-0.121404601791902,"(-0.121,0.004)",0.07635,-0.0739765479601604,-0.074440861785825,-0.0108245105180587,-0.134181696271718,"(-0.134,-0.011)",0.02952,-0.0478215280837325,-0.0483302639511658,0.0170658351883205,-0.10987003686873,"(-0.11,0.017)",0.16005,-0.115019505160422,-0.11569915054995,-0.0541215482250208,-0.172492902717061,"(-0.172,-0.054)",0.00091,-0.0813778097086498,-0.0815084786535223,-0.0582340690639006,-0.10401841818608,"(-0.104,-0.058)",0.00001,"Blindness and vision defects",7,-0.64610193836438,-0.847567326943562,-0.155062717958176,-0.260596244462075,-0.0876219040413905,-0.805374161641944,-0.754920506111362,-7.12153045776378,0.049794404952322,18521.57,18938.5,"Blind","12",FALSE,12,0.00212,0.0021,0.09162,0.04428,0.16005,0.00212,-0.580718388024462,-0.656725729449938,-0.144072601068255,-0.230601335445939,-0.0876219040413905,-0.708099087267814
"8","angoid streaks of macula","K",-0.0207205395265766,-0.021323223236835,0.0341136743707113,-0.0720203952233117,"(-0.072,0.034)",0.44896,-0.0917564028858322,-0.0922537519635199,-0.041862791004372,-0.138502058159195,"(-0.139,-0.042)",0.00067,-0.0699468918105213,-0.0705550229365942,-0.0148760654774866,-0.121757332254213,"(-0.122,-0.015)",0.0163,-0.0833970634867551,-0.0840038874727582,-0.030173007529048,-0.13323089232048,"(-0.133,-0.03)",0.00354,-0.0602495864077447,-0.060976889466708,-0.00459060996090743,-0.112237362138924,"(-0.112,-0.005)",0.03846,-0.10628049473453,-0.106789145089533,-0.0541798072876597,-0.154878622395098,"(-0.155,-0.054)",0.00012,-0.0696938419441985,-0.0697770526252487,-0.049014215044562,-0.0898905922806534,"(-0.09,-0.049)",0.00001,"Retinal and vitreous conditions",8,-0.0165934531729225,-0.670577157362443,-0.287942687331043,-0.470662048633168,-0.196301378923956,-0.959502306150213,-0.473620026115681,-4.46788690211065,0.049033247136977,634.53,640,"Retina/Vitreous","6",FALSE,6,0.44896,0.00201,0.02445,0.00708,0.046152,0.00072,-0.0165934531729225,-0.569772445588085,-0.25958166328126,-0.412855609210345,-0.185316580533905,-0.769073223315376
"9","anisometropia/aniseikonia","J",-0.130178179118411,-0.130986130998202,-0.0646514520590926,-0.191317928708152,"(-0.191,-0.065)",0.00044,-0.164991389292057,-0.165890869038636,-0.101346224195001,-0.223633231887427,"(-0.224,-0.101)",0.00005,-0.091369961086646,-0.0923528803510156,-0.0186231626515715,-0.159018516686917,"(-0.159,-0.019)",0.02015,-0.0886224920101242,-0.0898149260513196,-0.0156802543378456,-0.155909274545689,"(-0.156,-0.016)",0.02244,-0.141924989616872,-0.142733198308765,-0.0738905389506778,-0.204684627624679,"(-0.205,-0.074)",0.0004,-0.177517849652874,-0.178502327811596,-0.112326146611947,-0.237886022927898,"(-0.238,-0.112)",0.00002,-0.13014466131739,-0.130342764633082,-0.103510419360765,-0.155839300342843,"(-0.156,-0.104)",0.00001,"Refractive error",9,-1.00611275737356,-1.63399017012953,-0.356758672070983,-0.33649164371445,-1.11042764885271,-1.92070377476938,-0.846070268106316,-7.98139027215492,0.0749359454108534,5707.57,5812.5,"Refra","12",FALSE,12,0.00066,0.00015,0.02244,0.02244,0.00066,0.00012,-0.953330047903994,-1.45272860232885,-0.346923537070686,-0.33649164371445,-1.03935512131534,-1.60263448669684
"10","anterior synechiae (iris)","H",-0.265862714339113,-0.266500576017053,-0.211169625143217,-0.316986111675778,"(-0.317,-0.211)",0.00001,-0.142804489626398,-0.143583856607632,-0.0782901900812411,-0.202665471936978,"(-0.203,-0.078)",0.00016,-0.197854252878074,-0.198626744400965,-0.132884349370515,-0.258590357288213,"(-0.259,-0.133)",0.00001,-0.16700577439503,-0.167843300522227,-0.100011980101201,-0.229484443562761,"(-0.229,-0.1)",0.00004,-0.30234515492098,-0.30298609728014,-0.245215949100267,-0.355255570956719,"(-0.355,-0.245)",0.00001,-0.317410398763148,-0.318225548439414,-0.261243882794529,-0.369179968230822,"(-0.369,-0.261)",0.00001,-0.224107893459373,-0.224281765438392,-0.200148612678571,-0.247277406167236,"(-0.247,-0.2)",0.00001,"Other specified eye disorders",10,-3.06085761410088,-1.24815932770848,-2.27788126631264,-1.69120586951132,-3.48087723330012,-3.6543222627666,-0.755209217404455,-7.76414116515713,0.0809930842853888,910.42,915.5,"Other","No recovery",FALSE,0,0.000015,0.00016,0.000015,0.000048,0.000015,0.000015,-2.95305955988944,-1.24815932770848,-2.19765827027977,-1.66075711673004,-3.3582868223741,-3.52562342111745
